country,month,clean_share
Denmark,2025/6/1,96.802
Denmark,2025/7/1,95.244
Denmark,2025/8/1,96.14
Denmark,2025/9/1,96.192
Denmark,2025/10/1,95.618
Denmark,2025/11/1,90.506
Estonia,2017/1/1,6.316
Estonia,2017/2/1,5.954
Estonia,2017/3/1,7.267
Estonia,2017/4/1,8.029
Estonia,2017/5/1,4.931
Estonia,2017/6/1,6.922
Estonia,2017/7/1,4.538
Estonia,2017/8/1,6.433
Estonia,2017/9/1,6.291
Estonia,2017/10/1,7.405
Estonia,2017/11/1,7.592
Estonia,2017/12/1,9.75
Estonia,2018/1/1,6.709
Estonia,2018/2/1,4.532
Estonia,2018/3/1,4.64
Estonia,2018/4/1,5.641
Estonia,2018/5/1,4.954
Estonia,2018/6/1,6.28
Estonia,2018/7/1,4.59
Estonia,2018/8/1,4.105
Estonia,2018/9/1,8.664
Estonia,2018/10/1,9.521
Estonia,2018/11/1,6.425
Estonia,2018/12/1,8.815
Estonia,2019/1/1,5.751
Estonia,2019/2/1,13.502
Estonia,2019/3/1,12.422
Estonia,2019/4/1,7.114
Estonia,2019/5/1,9.534
Estonia,2019/6/1,13.126
Estonia,2019/7/1,11.162
Estonia,2019/8/1,8.831
Estonia,2019/9/1,12.086
Estonia,2019/10/1,13.019
Estonia,2019/11/1,11.253
Estonia,2019/12/1,20.485
Estonia,2020/1/1,51.145
Estonia,2020/2/1,53.916
Estonia,2020/3/1,51.536
Estonia,2020/4/1,64.51
Estonia,2020/5/1,58.084
Estonia,2020/6/1,41.419
Estonia,2020/7/1,44.422
Estonia,2020/8/1,30.302
Estonia,2020/9/1,32.417
Estonia,2020/10/1,34.55
Estonia,2020/11/1,36.46
Estonia,2020/12/1,36.003
Estonia,2021/1/1,27.105
Estonia,2021/2/1,25.119
Estonia,2021/3/1,56.596
Estonia,2021/4/1,46.438
Estonia,2021/5/1,43.926
Estonia,2021/6/1,33.167
Estonia,2021/7/1,32.819
Estonia,2021/8/1,37.04
Estonia,2021/9/1,29.235
Estonia,2021/10/1,43.106
Estonia,2021/11/1,33.871
Estonia,2021/12/1,9.119
Estonia,2022/1/1,29.942
Estonia,2022/2/1,42.463
Estonia,2022/3/1,30.97
Estonia,2022/4/1,45.64
Estonia,2022/5/1,39.374
Estonia,2022/6/1,36.317
Estonia,2022/7/1,36.865
Estonia,2022/8/1,32.997
Estonia,2022/9/1,30.628
Estonia,2022/10/1,36.591
Estonia,2022/11/1,26.967
Estonia,2022/12/1,25.287
Estonia,2023/1/1,42.225
Estonia,2023/2/1,44.031
Estonia,2023/3/1,50.102
Estonia,2023/4/1,63.814
Estonia,2023/5/1,62.881
Estonia,2023/6/1,51.97
Estonia,2023/7/1,67.753
Estonia,2023/8/1,55.288
Estonia,2023/9/1,61.077
Estonia,2023/10/1,63.102
Estonia,2023/11/1,41.796
Estonia,2023/12/1,40.295
Estonia,2024/1/1,46.566
Estonia,2024/2/1,58.998
Estonia,2024/3/1,60.738
Estonia,2024/4/1,67.943
Estonia,2024/5/1,69.743
Estonia,2024/6/1,68.6
Estonia,2024/7/1,64.726
Estonia,2024/8/1,69.493
Estonia,2024/9/1,61.555
Estonia,2024/10/1,63.732
Estonia,2024/11/1,62.62
Estonia,2024/12/1,63.156
Estonia,2025/1/1,61.666
Estonia,2025/2/1,46.096
Estonia,2025/3/1,65.921
Estonia,2025/4/1,65.894
Estonia,2025/5/1,74.544
Estonia,2025/6/1,75.229
Estonia,2025/7/1,88.867
Estonia,2025/8/1,92.147
Estonia,2025/9/1,77.172
Estonia,2025/10/1,56.659
Estonia,2025/11/1,59.898
Germany,2017/1/1,20.43
Germany,2017/2/1,29.017
Germany,2017/3/1,31.588
Germany,2017/4/1,33.015
Germany,2017/5/1,30.108
Germany,2017/6/1,35.098
Germany,2017/7/1,31.639
Germany,2017/8/1,30.135
Germany,2017/9/1,27.784
Germany,2017/10/1,35.773
Germany,2017/11/1,28.102
